order_id,order_date,customer_id,product_id,store_id,sales_channel,quantity,unit_price,discount_pct,total_amount
O00000,1/31/2024,C0125,P1086,,Online,2.00,80.63,0.05,153.2
O00001,9/29/2024,C0633,P0973,S042,In-Store,20.00,209.16,0.05,3974
O00002,8/29/2023,C0653,P0659,,Online,2.00,218.60,0.10,393.48
O00003,5/13/2024,C0753,P0666,S014,In-Store,1.00,78.53,0.20,62.82
O00004,7/22/2024,C0627,P0166,S017,In-Store,1.00,344.93,0.20,275.94
O00005,12/16/2024,C0716,P0205,S018,In-Store,1.00,14.31,0.05,13.59
O00006,9/25/2023,C0532,P1171,S045,In-Store,2.00,230.62,0.00,461.24
O00007,9/27/2023,C0515,P0178,S043,In-Store,2.00,129.07,0.20,206.51
O00008,3/1/2024,C0456,P0236,S034,In-Store,2.00,196.93,0.05,374.17
O00009,12/2/2023,C0174,P0183,,Online,3.00,304.66,0.00,913.98
O00010,5/3/2023,C0334,P0785,S014,In-Store,1.00,57.39,0.10,51.65
O00011,4/12/2024,C0686,P0252,S059,In-Store,2.00,231.15,0.20,369.84
O00012,11/13/2024,C0708,P0681,S059,In-Store,1.00,342.55,0.00,342.55
O00013,10/5/2024,C0386,P0781,S050,In-Store,1.00,153.30,0.20,122.64
O00014,11/18/2024,C0228,P0530,,Online,2.00,274.32,0.00,548.64
O00015,5/6/2024,C0348,P0528,S047,In-Store,2.00,102.08,0.00,204.16
O00016,7/16/2023,C0130,P0641,S036,In-Store,1.00,240.92,0.00,240.92
O00017,1/19/2025,C0604,P1096,,Online,1.00,214.66,0.20,171.73
O00018,3/5/2025,C0327,P0747,S059,In-Store,1.00,127.24,0.05,120.88
O00019,4/28/2023,C0616,P0255,,Online,10.00,21.15,0.20,169.2
O00020,3/15/2024,C0471,P0647,,Online,2.00,139.35,0.10,250.83
O00021,11/27/2023,C0511,P0933,,Online,2.00,25.25,0.10,45.45
O00022,6/28/2024,C0681,P0070,S019,In-Store,2.00,235.00,0.00,470
O00023,10/10/2024,C0723,P1175,S053,In-Store,2.00,26.47,0.05,50.29
O00024,7/16/2024,C0721,P0771,,Online,2.00,155.11,0.10,279.2
O00025,5/19/2024,C0733,P0431,S059,In-Store,1.00,39.30,0.05,37.33
O00026,3/7/2025,C0053,P0366,S046,In-Store,2.00,230.23,0.20,368.37
O00027,4/3/2025,C0675,P0326,S035,In-Store,2.00,134.39,0.20,215.02
O00028,8/17/2023,C0694,P0969,S048,In-Store,2.00,171.98,0.20,275.17
O00029,7/12/2024,C0540,P0579,,Online,1.00,137.64,0.05,130.76
O00030,10/21/2024,C0561,P0806,,Online,1.00,38.24,0.10,34.42
O00031,2/18/2024,C0594,P0110,S045,In-Store,3.00,280.19,0.10,756.51
O00032,1/27/2025,C0167,P1182,,Online,1.00,275.08,0.20,220.06
O00033,6/19/2024,C0148,P0429,,Online,1.00,257.83,0.05,244.94
O00034,6/4/2024,C0009,P0741,S036,In-Store,2.00,25.86,0.00,51.72
O00035,9/14/2023,C0151,P0771,S027,In-Store,1.00,155.11,0.05,147.35
